transition_proba,skip,n_functions,n_cores,run,total_work,max_endtime,latency,hit_ratio
0.5,0,3,4,0,6501,818032,56506.0,98.745
0.5,0,3,4,1,6566,818900,82263.30000000026,99.29
0.5,0,3,4,2,6614,818626,170857.49999999997,99.51
0.5,0,3,4,3,6622,820240,84933.21999999997,99.715
0.5,0,3,4,4,6580,818662,129055.26000000002,99.69
0.5,0,3,4,5,6564,818808,73346.11999999984,98.92
0.5,0,3,4,6,6549,818688,73477.83999999975,99.28
0.5,0,3,4,7,6556,819902,68223.39999999985,99.095
0.5,0,3,4,8,6579,818084,185832.12000000052,99.17
0.5,0,3,4,9,6612,819328,140320.56000000253,99.535
0.5,0,3,8,0,6585,818806,121856.15999999992,99.48
0.5,0,3,8,1,6595,817966,75588.3199999998,99.655
0.5,0,3,8,2,6568,819304,75660.43999999989,98.9
0.5,0,3,8,3,6562,818564,81565.5800000005,99.05
0.5,0,3,8,4,6533,821146,84556.56000000014,98.615
0.5,0,3,8,5,6487,819080,41614.720000000074,98.265
0.5,0,3,8,6,6609,819086,245215.36000000028,99.74
0.5,0,3,8,7,6508,819768,43916.660000000105,98.28
0.5,0,3,8,8,6476,817390,45819.5,99.12
0.5,0,3,8,9,6580,818884,110750.90000000018,99.355
0.5,0,3,16,0,6529,818820,75691.2000000001,98.295
0.5,0,3,16,1,6540,819984,130610.77999999966,98.595
0.5,0,3,16,2,6569,818804,148781.59999999905,99.505
0.5,0,3,16,3,6566,818318,81113.90000000014,99.565
0.5,0,3,16,4,6580,819256,93796.48000000001,99.34
0.5,0,3,16,5,6614,820186,177790.91999999987,99.635
0.5,0,3,16,6,6581,818260,79081.19999999978,99.455
0.5,0,3,16,7,6510,819622,58173.379999999896,98.425
0.5,0,3,16,8,6543,819138,50319.35999999997,99.34
0.5,0,3,16,9,6539,818566,63022.55999999978,99.22
0.5,0,3,32,0,6578,819098,86066.03999999836,99.45
0.5,0,3,32,1,6606,819466,131035.6999999999,99.755
0.5,0,3,32,2,6486,820692,46972.59999999993,98.295
0.5,0,3,32,3,6545,820620,135571.4399999993,98.82
0.5,0,3,32,4,6587,817492,158827.7200000001,99.375
0.5,0,3,32,5,6576,818750,54407.5,99.785
0.5,0,3,32,6,6587,819312,95799.24000000005,99.35
0.5,0,3,32,7,6581,819368,63525.99999999996,99.395
0.5,0,3,32,8,6536,820324,67476.69999999994,98.58
0.5,0,3,32,9,6596,818550,130377.40000000657,99.68
0.5,0,4,4,0,6629,818358,258189.8400000008,99.78
0.5,0,4,4,1,6552,819710,91543.57999999987,98.935
0.5,0,4,4,2,6642,819472,124064.94000000035,99.785
0.5,0,4,4,3,6536,819368,87422.89999999944,99.03
0.5,0,4,4,4,6565,820522,53447.9999999998,99.145
0.5,0,4,4,5,6592,819630,80208.82000000007,99.175
0.5,0,4,4,6,6551,819436,46800.0,99.31
0.5,0,4,4,7,6535,818606,38611.92,98.925
0.5,0,4,4,8,6543,820112,67591.47999999984,99.545
0.5,0,4,4,9,6557,817898,119568.63999999965,99.345
0.5,0,4,8,0,6532,819514,51282.81999999921,99.035
0.5,0,4,8,1,6512,819600,54056.54000000022,98.69
0.5,0,4,8,2,6582,820018,76870.93999999983,99.52
0.5,0,4,8,3,6536,817792,49968.199999999844,98.79
0.5,0,4,8,4,6567,819888,96035.20000000035,99.26
0.5,0,4,8,5,6585,819260,90106.79999999997,99.15
0.5,0,4,8,6,6549,819976,52453.67999999918,99.405
0.5,0,4,8,7,6513,819028,44708.48000000014,98.275
0.5,0,4,8,8,6607,819560,135374.15999999968,99.445
0.5,0,4,8,9,6583,819916,138206.16000000024,99.32
0.5,0,4,16,0,6582,819318,66179.75999999956,99.435
0.5,0,4,16,1,6576,819136,216172.0,98.97
0.5,0,4,16,2,6598,818584,164656.35999999996,99.28
0.5,0,4,16,3,6479,820132,38268.64,97.885
0.5,0,4,16,4,6490,818818,46742.71999999995,98.155
0.5,0,4,16,5,6591,819476,97471.40000000052,99.2
0.5,0,4,16,6,6495,818656,46983.39999999991,98.14
0.5,0,4,16,7,6542,819656,43405.22000000011,99.355
0.5,0,4,16,8,6475,820330,61772.88000000041,97.905
0.5,0,4,16,9,6534,818258,71106.32000000008,98.975
0.5,0,4,32,0,6557,819694,60547.83999999972,98.91
0.5,0,4,32,1,6536,818382,58829.399999999776,99.19
0.5,0,4,32,2,6597,818370,69866.31999999998,99.215
0.5,0,4,32,3,6546,818574,75157.5000000001,99.67
0.5,0,4,32,4,6575,818896,98456.60000000003,99.345
0.5,0,4,32,5,6462,817960,28407.960000000054,98.29
0.5,0,4,32,6,6580,818650,94796.04000000005,99.39
0.5,0,4,32,7,6548,819946,59886.71999999984,99.14
0.5,0,4,32,8,6598,819018,71562.11999999995,99.635
0.5,0,4,32,9,6498,819748,45730.73999999986,98.405
0.5,0,5,4,0,6577,819878,70002.07999999987,99.18
0.5,0,5,4,1,6585,818630,82822.47999999997,99.575
0.5,0,5,4,2,6520,819652,44930.45999999982,98.545
0.5,0,5,4,3,6487,818710,54546.20000000004,98.98
0.5,0,5,4,4,6507,818816,49655.3999999994,98.17
0.5,0,5,4,5,6541,819906,88084.40000000053,98.805
0.5,0,5,4,6,6544,818784,70234.77999999993,98.54
0.5,0,5,4,7,6592,820204,131274.54000000062,99.38
0.5,0,5,4,8,6599,818938,137183.59999999256,99.19
0.5,0,5,4,9,6528,818908,52891.23999999974,98.95
0.5,0,5,8,0,6579,819504,104846.76000000075,99.38
0.5,0,5,8,1,6569,820850,118297.35999999974,98.965
0.5,0,5,8,2,6576,818068,80494.5,99.36
0.5,0,5,8,3,6576,818980,110619.5,99.055
0.5,0,5,8,4,6587,818772,83387.04000000005,99.47
0.5,0,5,8,5,6503,818678,53956.63999999993,98.465
0.5,0,5,8,6,6555,819034,103494.28000000003,99.085
0.5,0,5,8,7,6579,818752,76212.68000000005,99.73
0.5,0,5,8,8,6589,819078,106169.03999999935,99.53
0.5,0,5,8,9,6598,819232,60824.899999999885,99.715
0.5,0,5,16,0,6544,818894,62791.57999999997,98.775
0.5,0,5,16,1,6557,818982,91297.43999999967,98.89
0.5,0,5,16,2,6589,819014,80187.75999999946,99.52
0.5,0,5,16,3,6601,820468,90532.0,99.565
0.5,0,5,16,4,6542,818960,95625.68000000005,99.12
0.5,0,5,16,5,6524,819536,45629.31999999985,98.945
0.5,0,5,16,6,6535,817958,50100.8799999999,99.35
0.5,0,5,16,7,6466,819704,44424.90000000005,97.9
0.5,0,5,16,8,6535,819602,89545.03999999986,98.865
0.5,0,5,16,9,6601,818278,56684.0,99.445
0.5,0,5,32,0,6543,819530,66231.19999999991,99.065
0.5,0,5,32,1,6597,819222,131150.87999999998,99.35
0.5,0,5,32,2,6525,819634,56174.64000000007,98.915
0.5,0,5,32,3,6557,818058,83258.23999999883,98.8
0.5,0,5,32,4,6584,818430,81303.04000000004,98.92
0.5,0,5,32,5,6572,819498,65568.29999999996,99.44
0.5,0,5,32,6,6558,817850,110176.94000000066,98.86
0.5,0,5,32,7,6481,819674,52621.59999999998,97.91
0.5,0,5,32,8,6555,819776,56569.96000000001,99.41
0.5,0,5,32,9,6508,818038,45599.28000000003,99.485
0.5,1,3,4,0,6550,819034,98240.76000000295,98.72
0.5,1,3,4,1,6587,819292,108424.92000000022,99.485
0.5,1,3,4,2,6523,819632,54457.95999999954,99.215
0.5,1,3,4,3,6546,819438,61661.30000000009,99.125
0.5,1,3,4,4,6592,817318,131602.14000000007,99.565
0.5,1,3,4,5,6512,820112,49592.26000000002,98.325
0.5,1,3,4,6,6587,819910,116835.56000000097,99.335
0.5,1,3,4,7,6603,820498,118312.27999999769,99.235
0.5,1,3,4,8,6610,819254,210622.8799999997,99.65
0.5,1,3,4,9,6532,819434,64264.859999999564,98.97
0.5,1,3,8,0,6602,819370,90426.41999999997,99.595
0.5,1,3,8,1,6543,820776,54137.119999999995,98.9
0.5,1,3,8,2,6516,818828,43203.500000004125,99.335
0.5,1,3,8,3,6617,818306,121985.4400000003,99.665
0.5,1,3,8,4,6541,820770,71808.00000000013,99.02
0.5,1,3,8,5,6590,819002,86343.4199999999,99.51
0.5,1,3,8,6,6540,819226,48605.859999999855,98.665
0.5,1,3,8,7,6561,818034,61971.19999999976,99.515
0.5,1,3,8,8,6603,820176,155113.99999999983,99.465
0.5,1,3,8,9,6533,820098,48066.56000000014,98.835
0.5,1,3,16,0,6532,819692,70206.91999999933,98.535
0.5,1,3,16,1,6574,819994,73679.55999999988,99.225
0.5,1,3,16,2,6582,820704,66648.3999999993,99.455
0.5,1,3,16,3,6582,819952,87067.93999999978,99.405
