transition_proba,skip,n_functions,n_cores,run,total_work,max_endtime,latency,hit_ratio
0.5,1,3,1,0,6545,998740,137203.9999999998,98.835
0.5,1,3,1,1,6533,999460,124846.40000000065,98.8
0.5,1,3,1,2,6581,999280,99133.99999999997,99.375
0.5,1,3,1,3,6518,998830,72571.5,98.73
0.5,1,3,1,4,6551,998650,142080.0,98.62
0.5,1,3,1,5,6515,998740,80305.39999999938,98.64
0.5,1,3,1,6,6512,999010,141174.00000000052,98.175
0.5,1,3,1,7,6556,999370,118293.99999999987,98.895
0.5,1,3,1,8,6574,998200,85351.29999999897,99.12
0.5,1,3,1,9,6614,999550,113291.99999999983,99.405
0.5,1,3,1,10,6548,997570,65620.89999999986,98.86
0.5,1,3,1,11,6528,999190,68442.79999999984,98.445
0.5,1,3,1,12,6572,999280,119175.4,99.04
0.5,1,3,1,13,6581,999280,92989.99999999988,99.51
0.5,1,3,1,14,6533,999370,119364.80000000018,98.945
0.5,1,3,1,15,6578,999820,88400.0,99.12
0.5,1,3,1,16,6540,998470,81868.09999999993,99.16
0.5,1,3,1,17,6532,998920,82518.99999999956,99.49
0.5,1,3,1,18,6584,999010,114811.00000000003,99.56
0.5,1,3,1,19,6583,999190,147016.0000000002,99.44
0.5,1,3,1,20,6549,999370,81725.99999999939,98.74
0.5,1,3,1,21,6594,998920,157617.9999999996,99.67
0.5,1,3,1,22,6436,998380,67208.99999999926,97.455
0.5,1,3,1,23,6530,998650,57000.00000000004,99.305
0.5,1,3,1,24,6594,999190,130721.4,99.285
0.5,1,3,1,25,6588,998920,105456.00000000013,99.415
0.5,1,3,1,26,6497,999550,63881.59999999999,98.675
0.5,1,3,1,27,6599,999460,78633.99999999968,99.555
0.5,1,3,1,28,6621,999280,109960.00000000052,99.53
0.5,1,3,1,29,6583,998920,104608.00000000032,99.17
0.5,1,3,1,30,6571,999550,159083.00000000023,98.95
0.5,1,3,1,31,6594,999730,116291.69999999991,99.335
0.5,1,3,1,32,6575,999820,72560.40000000055,99.51
0.5,1,3,1,33,6581,998470,74519.99999999983,99.76
0.5,1,3,1,34,6604,999460,293688.0000000001,99.36
0.5,1,3,1,35,6594,998650,254368.39999999967,99.355
0.5,1,3,1,36,6563,998830,136762.20000000013,99.47
0.5,1,3,1,37,6539,999280,62311.999999999876,98.83
0.5,1,3,1,38,6596,999640,141570.00000000055,99.85
0.5,1,3,1,39,6577,999100,87391.59999999992,99.345
0.5,1,3,1,40,6529,999910,121258.00000000009,99.495
0.5,1,3,1,41,6493,999550,59285.19999999995,98.66
0.5,1,3,1,42,6520,999550,57484.89999999985,98.475
0.5,1,3,1,43,6579,999280,115172.00000000015,99.66
0.5,1,3,1,44,6570,999550,58027.89999999995,99.355
0.5,1,3,1,45,6533,999280,102554.40000000002,98.61
0.5,1,3,1,46,6570,999100,110855.9999999997,99.205
0.5,1,3,1,47,6596,998110,115400.00000000017,99.5
0.5,1,3,1,48,6541,998920,81248.0000000002,98.55
0.5,1,3,1,49,6564,998110,124414.99999999994,99.37
0.5,1,3,4,0,6544,998830,85073.49999999926,99.02
0.5,1,3,4,1,6548,998740,86056.39999999927,98.73
0.5,1,3,4,2,6555,998290,102812.60000000005,98.955
0.5,1,3,4,3,6509,999640,84088.00000000003,98.55
0.5,1,3,4,4,6514,999100,85251.99999999994,98.22
0.5,1,3,4,5,6564,998560,89272.69999999992,99.15
0.5,1,3,4,6,6572,999100,87893.99999999997,99.1
0.5,1,3,4,7,6561,999190,85229.9999999999,99.82
0.5,1,3,4,8,6582,999190,162355.69999999998,99.185
0.5,1,3,4,9,6577,999100,164839.99999999977,99.575
0.5,1,3,4,10,6549,999280,76391.99999999959,99.105
0.5,1,3,4,11,6589,999100,115843.99999999975,99.43
0.5,1,3,4,12,6594,999820,104632.19999999987,99.55
0.5,1,3,4,13,6573,999370,153651.99999999965,99.115
0.5,1,3,4,14,6544,999460,83449.99999999971,98.77
0.5,1,3,4,15,6511,997840,67482.99999999994,98.605
0.5,1,3,4,16,6551,999730,96735.0,99.025
0.5,1,3,4,17,6562,999280,88837.9000000002,99.25
0.5,1,3,4,18,6496,999460,76395.00000000071,98.02
0.5,1,3,4,19,6602,999280,138770.99999999828,99.56
0.5,1,3,4,20,6600,998740,150414.7000000001,99.315
0.5,1,3,4,21,6508,998920,83508.00000000017,98.53
0.5,1,3,4,22,6549,998740,74649.59999999966,99.21
0.5,1,3,4,23,6582,999550,118692.99999999972,99.245
0.5,1,3,4,24,6583,999280,106623.20000000269,99.075
0.5,1,3,4,25,6478,999370,39738.399999999965,98.125
0.5,1,3,4,26,6590,999550,151897.69999999998,99.505
0.5,1,3,4,27,6574,999370,157966.999999999,99.115
0.5,1,3,4,28,6579,998650,71568.60000000017,99.785
0.5,1,3,4,29,6556,999100,90959.49999999994,98.76
0.5,1,3,4,30,6557,999280,70093.99999999977,98.79
0.5,1,3,4,31,6568,999370,62795.79999999999,99.575
0.5,1,3,4,32,6556,999370,159869.99999999965,98.84
0.5,1,3,4,33,6589,999100,101385.19999999998,99.285
0.5,1,3,4,34,6599,998830,151274.1999999992,99.295
0.5,1,3,4,35,6579,998110,198102.00000000017,99.355
0.5,1,3,4,36,6565,999550,105265.59999999977,98.895
0.5,1,3,4,37,6602,998650,145370.0,99.665
0.5,1,3,4,38,6570,999280,77274.69999999777,99.31
0.5,1,3,4,39,6538,998020,79901.50000000023,98.44
0.5,1,3,4,40,6544,998740,105964.19999999998,99.13
0.5,1,3,4,41,6563,999370,55106.600000000006,98.94
0.5,1,3,4,42,6600,999640,105129.00000000064,99.35
0.5,1,3,4,43,6591,999640,119300.00000000121,99.425
0.5,1,3,4,44,6585,998830,91561.99999999974,99.32
0.5,1,3,4,45,6510,999550,49208.99999999987,98.7
0.5,1,3,4,46,6527,998740,83779.9999999999,98.81
0.5,1,3,4,47,6589,999100,93247.19999999994,99.375
0.5,1,3,4,48,6515,999190,79918.99999999978,98.375
0.5,1,3,4,49,6535,998470,79781.9999999999,98.87
0.5,1,3,16,0,6573,999190,83051.59999999995,99.365
0.5,1,3,16,1,6560,999280,85143.39999999989,99.65
0.5,1,3,16,2,6584,999370,93866.80000000002,99.55
0.5,1,3,16,3,6550,999280,77426.70000000004,99.07
0.5,1,3,16,4,6519,999280,107245.99999999962,98.71
0.5,1,3,16,5,6582,997840,127785.99999999985,99.225
0.5,1,3,16,6,6580,999100,129509.60000000033,99.385
0.5,1,3,16,7,6567,998830,111965.80000000028,99.205
0.5,1,3,16,8,6588,999370,151142.00000000006,99.395
0.5,1,3,16,9,6494,999460,51741.19999999995,98.81
0.5,1,3,16,10,6562,998200,57278.90000000017,99.5
0.5,1,3,16,11,6561,999370,101469.99999999949,98.945
0.5,1,3,16,12,6506,999190,75129.99999999993,98.885
0.5,1,3,16,13,6541,998920,75222.00000000006,99.285
0.5,1,3,16,14,6579,999010,193658.00000000288,99.11
0.5,1,3,16,15,6558,999460,110082.80000000203,99.165
0.5,1,3,16,16,6592,998650,182395.40000000075,99.275
0.5,1,3,16,17,6592,998920,99785.50000000015,99.605
0.5,1,3,16,18,6587,999550,132070.00000000064,99.2
0.5,1,3,16,19,6611,999460,161249.9999999992,99.38
0.5,1,3,16,20,6587,999100,119714.00000000036,99.32
0.5,1,3,16,21,6567,999640,77920.00000000022,99.46
0.5,1,3,16,22,6473,998920,85480.79999999952,97.655
0.5,1,3,16,23,6572,998200,102710.0,98.895
0.5,1,3,16,24,6588,999460,64801.00000000008,99.58
0.5,1,3,16,25,6498,998920,129421.9999999999,98.185
0.5,1,3,16,26,6554,998740,125844.20000000022,98.84
0.5,1,3,16,27,6575,999100,451398.0000000023,99.135
0.5,1,3,16,28,6590,999460,191525.9999999998,99.91
0.5,1,3,16,29,6579,998650,153970.00000000204,99.39
0.5,1,3,16,30,6583,998920,97840.00000000102,99.425
0.5,1,3,16,31,6533,999100,89406.80000000102,98.72
0.5,1,3,16,32,6508,998200,96642.00000000012,99.175
0.5,1,3,16,33,6578,999100,151074.29999999894,99.385
0.5,1,3,16,34,6562,999640,167374.3000000001,99.11
0.5,1,3,16,35,6573,998740,73278.39999999994,99.55
0.5,1,3,16,36,6575,999370,125741.60000000025,99.81
0.5,1,3,16,37,6570,999370,95297.99999999959,99.855
0.5,1,3,16,38,6576,998920,84945.0,99.525
0.5,1,3,16,39,6521,999280,68834.00000000007,98.855
0.5,1,3,16,40,6479,998200,119540.00000000012,97.81
0.5,1,3,16,41,6551,998380,66770.0,99.205
0.5,1,3,16,42,6568,999010,125209.99999999993,99.505
0.5,1,3,16,43,6561,999190,80579.99999999971,99.24
0.5,1,3,16,44,6610,999370,346710.9999999998,99.46
0.5,1,3,16,45,6570,999460,122374.09999999995,99.22
0.5,1,3,16,46,6568,998470,76834.69999999995,99.665
0.5,1,3,16,47,6591,999100,148099.00000000207,99.27
0.5,1,3,16,48,6541,998650,79510.00000000019,99.56
0.5,1,3,16,49,6596,999190,203870.5,99.42
0.5,1,3,32,0,6583,998290,73799.40000000053,99.325
0.5,1,3,32,1,6618,999100,172117.09999999983,99.445
0.5,1,3,32,2,6519,999460,97799.79999999989,98.355
0.5,1,3,32,3,6569,999280,83337.99999999988,99.615
0.5,1,3,32,4,6590,999010,135901.79999999987,99.225
0.5,1,3,32,5,6554,998920,65077.30000000015,99.385
0.5,1,3,32,6,6531,999550,283529.9999999999,98.415
0.5,1,3,32,7,6532,998920,91330.49999999942,98.41
0.5,1,3,32,8,6510,999010,83067.99999999988,98.335
0.5,1,3,32,9,6535,999370,76869.99999999985,98.775
0.5,1,3,32,10,6492,999640,51053.500000001186,98.37
0.5,1,3,32,11,6552,998560,67803.59999999964,99.435
0.5,1,3,32,12,6610,998380,200663.99999999994,99.605
0.5,1,3,32,13,6554,999190,86661.70000000003,99.4
0.5,1,3,32,14,6549,999010,72493.99999999967,99.02
0.5,1,3,32,15,6608,998560,151000.90000000002,99.355
0.5,1,3,32,16,6525,998470,77350.00000000022,98.685
0.5,1,3,32,17,6537,999460,57006.4,99.735
0.5,1,3,32,18,6574,999010,112670.39999999928,99.26
0.5,1,3,32,19,6589,998830,96101.99999999977,99.47
0.5,1,3,32,20,6539,999370,133563.99999999994,99.01
0.5,1,3,32,21,6402,999280,51369.69999999999,97.1
0.5,1,3,32,22,6529,999640,50721.600000000195,99.08
0.5,1,3,32,23,6564,999100,176945.9,99.705
0.5,1,3,32,24,6582,999190,162317.5999999984,99.4
0.5,1,3,32,25,6523,998830,71077.19999999994,98.67
0.5,1,3,32,26,6519,999370,48976.59999999996,98.95
0.5,1,3,32,27,6575,999550,79358.00000000029,99.24
0.5,1,3,32,28,6597,999010,129997.19999999995,99.335
0.5,1,3,32,29,6505,998380,109882.00000000003,98.485
0.5,1,3,32,30,6570,999460,100322.09999999954,99.025
0.5,1,3,32,31,6587,999370,107670.00000000032,99.765
0.5,1,3,32,32,6560,999280,82684.59999999999,98.77
0.5,1,3,32,33,6506,999370,72037.99999999952,98.715
0.5,1,3,32,34,6544,999460,85688.59999999971,98.895
0.5,1,3,32,35,6507,998650,67953.19999999949,98.54
0.5,1,3,32,36,6561,999100,149619.99999999962,98.755
0.5,1,3,32,37,6603,999010,92102.39999999985,99.595
0.5,1,3,32,38,6599,999730,164719.9999999981,99.515
0.5,1,3,32,39,6476,999010,56782.5,98.535
0.5,1,3,32,40,6578,999100,147910.99999999837,99.42
0.5,1,3,32,41,6558,999190,82623.80000000019,98.88
0.5,1,3,32,42,6505,998470,83812.00000000004,98.45
0.5,1,3,32,43,6543,997750,87685.19999999987,98.695
0.5,1,3,32,44,6564,999460,136866.99999999977,99.17
0.5,1,3,32,45,6587,999550,142012.80000000165,99.395
0.5,1,3,32,46,6561,998650,96593.99999999978,99.085
0.5,1,3,32,47,6605,999550,134642.00000000003,99.765
0.5,1,3,32,48,6572,999550,94201.99999999997,99.415
0.5,1,3,32,49,6526,999190,79587.5,98.635
0.5,10,3,1,0,6545,999280,56466.79999999986,99.03
0.5,10,3,1,1,6544,999460,112833.99999999936,98.815
0.5,10,3,1,2,6490,999190,72888.79999999997,98.83
0.5,10,3,1,3,6572,998740,115425.99999999983,99.265
0.5,10,3,1,4,6572,999460,75878.7,99.39
0.5,10,3,1,5,6514,999370,63245.49999999993,98.99
0.5,10,3,1,6,6558,999280,106400.0,99.22
0.5,10,3,1,7,6552,998290,52746.79999999993,99.155
0.5,10,3,1,8,6543,999100,119833.99999999994,99.265
0.5,10,3,1,9,6604,999640,258134.00000000055,99.585
0.5,10,3,1,10,6508,999190,49011.000000000204,98.565
0.5,10,3,1,11,6577,999010,102397.99999999952,98.9
0.5,10,3,1,12,6542,998290,91201.60000000003,99.53
0.5,10,3,1,13,6520,999730,57516.999999999636,98.54
0.5,10,3,1,14,6592,998740,138058.10000000015,99.33
0.5,10,3,1,15,6588,999280,225972.00000000017,99.42
0.5,10,3,1,16,6591,998830,135950.00000000015,99.62
0.5,10,3,1,17,6575,999730,93255.80000000444,99.175
0.5,10,3,1,18,6562,998830,79418.50000000006,99.42
0.5,10,3,1,19,6596,999370,125197.00000000015,99.75
0.5,10,3,1,20,6538,999370,68466.00000000001,99.01
0.5,10,3,1,21,6600,999190,122455.80000000012,99.48
0.5,10,3,1,22,6588,999820,99922.10000000002,99.695
0.5,10,3,1,23,6542,999460,62012.00000000012,99.37
0.5,10,3,1,24,6575,999010,118795.80000000008,99.4
0.5,10,3,1,25,6590,999370,88600.69999999955,99.375
0.5,10,3,1,26,6445,999100,87869.99999999923,97.37
0.5,10,3,1,27,6585,999370,142289.19999999992,99.12
0.5,10,3,1,28,6539,999190,77788.99999999994,98.475
0.5,10,3,1,29,6570,999280,74874.09999999995,99.45
0.5,10,3,1,30,6625,999370,216912.00000000015,99.655
0.5,10,3,1,31,6501,999100,43210.0,98.2
0.5,10,3,1,32,6520,999370,72320.89999999954,98.43
0.5,10,3,1,33,6534,998740,61537.90000000002,99.345
0.5,10,3,1,34,6531,998560,78348.99999999985,98.6
0.5,10,3,1,35,6543,999190,62563.999999999985,99.1
0.5,10,3,1,36,6573,999370,95259.1999999997,98.855
0.5,10,3,1,37,6622,999460,126370.19999999988,99.71
